Live Animals,20,2,1,-1,1,2
Meat,10,1,-1,1,1,1
Dairy Products,7,1,-1,1,1,1
Frozen Fish,10,1,-1,1,1,1
Live Fish,20,1,-1,1,1,2
Grains,3,2,-1,1,1,0.5
Vegetables,5,2,-1,1,1,0.5
Fruit,7,1,-1,1,1,0.5
Sugar,12,-1,1,1,1,1
Coffee,20,-1,2,1,1,2
Animal Feed,4,1,-1,1,none,0.5
Snack Bars,10,1,1,-1,1,1
Animal Hides,12,-2,1,1,none,1
Rubber,6,-1,-1,1,1,1
Wood,14,-2,1,1,1,1
Textiles,10,1,-2,1,1,1
Fertilizer,12,-2,1,1,none,1
Scrap Metal,15,1,-3,1,1,2
Coal,4,1,1,-2,1,0.5
Petroleum,5,1,1,-2,1,0.5
Organic Chemicals,25,1,1,-2,1,1
Inorganic Chemicals,35,1,1,-2,1,1
Medicine,90,2,-3,2,1,4
Soap,10,1,1,-1,1,1
Plastics,20,1,2,-2,1,1
Leather,12,1,1,-1,1,1
Stone,15,1,1,1,-3,1
Iron,7,1,2,1,-3,1
Steel,17,1,2,1,-3,1
Platinum,27,1,1,1,-3,1
Copper,10,1,1,1,-3,1
Nickel,13,1,1,1,-3,1
Lead,4,1,1,1,-3,1
Zinc,14,1,1,1,-3,1
Tin,5,1,1,1,-3,1
Tungsten,25,1,1,1,-3,1
Power Tools,35,1,-2,1,1,2
Generators,65,1,-2,1,1,2
Agricultural Machinery,20,1,1,-1,none,2
Civil Eng. Equipment,40,1,1,-1,1,2
HVAC Equipment,35,1,1,-1,1,2
Ball Bearings,2,1,1,-2,1,0.5
Valves,4,1,1,-2,1,0.5
Office Equipment,55,1,-1,1,1,2
Tablets,70,1,-1,1,1,2
Electrical Machinery,60,1,-1,1,1,3
Semiconductors,80,1,-1,1,1,3
Fiber Optics,90,1,-1,1,1,2
Medical Equipment,130,2,-2,2,1,1.5
Household Appliances,55,1,-1,1,1,2
Batteries,20,1,-1,1,1,2
Vehicle Parts,40,2,-2,2,2,2
Prefabricated Buildings,100,2,-2,2,2,3
Building Supplies,20,1,1,-1,1,1
Plumbing Supplies,15,1,1,-1,1,1
Toilet Paper,1,1,1,1,1,1
Furniture,100,-1,2,-1,-1,4
Clothing,75,1,2,-1,1,5
Sporting Goods,75,1,1,1,none,2
Scientific Equipment,170,1,-2,1,1,4
Toys,100,none,-1,1,none,3
Jewelry,200,1,-1,1,none,8
Musical Instruments,170,1,2,1,none,4
Crystals,150,-1,-2,3,none,4
